ID,Category,Img,Name,Obtained?,Research #,,,,,,,,,
28,Potions,,Lesser Healing Potion,No,30,,Music Boxes,100,3,0,0.00%,,,
29,Miscellaneous,,Life Crystal,No,10,,Ore/Bars/Gems,58,2,0,0.00%,,,
30,Walls/Wallpaper,,Dirt Wall,No,400,,Paint,32,1,0,0.00%,,,
31,Crafting,,Bottle,No,25,,Paintings,195,5,0,0.00%,,,
32,Furniture (Sets),,Wooden Table,No,1,,Pets/Mounts,123,4,0,0.00%,,,
33,Crafting Stations,,Furnace,No,1,,Plants,98,3,0,0.00%,,,
34,Furniture (Sets),,Wooden Chair,No,1,,Platforms/Fencing,86,3,0,0.00%,,,
35,Crafting Stations,,Iron Anvil,No,1,,Potions,69,2,0,0.00%,,,
36,Furniture (Sets),,Work Bench,No,1,,Statues,127,4,0,0.00%,,,
37,Armor,,Goggles,No,1,,Tools,206,6,0,0.00%,,,
38,Crafting,,Lens,No,25,,Trapped Chests,21,1,0,0.00%,,,
39,Weapons,,Wooden Bow,No,1,,Treasure Bags,18,1,0,0.00%,,,
40,Weapons (Thrown/Ammo),,Wooden Arrow,No,99,,Trophies,62,2,0,0.00%,,,
41,Weapons (Thrown/Ammo),,Flaming Arrow,No,99,,Vanity,338,9,0,0.00%,,,
42,Weapons (Thrown/Ammo),,Shuriken,No,99,,Vanity (Developer),64,2,0,0.00%,,,
43,Keys/Boss Summons,,Suspicious Looking Eye,No,3,,Vanity Accessories,38,1,0,0.00%,,,
44,Weapons,,Demon Bow,No,1,,Walls/Wallpaper,266,7,0,0.00%,,,
45,Tools,,War Axe of the Night,No,1,,Weapons,424,11,0,0.00%,,,
46,Weapons,,Light's Bane,No,1,,Weapons (Thrown/Ammo),109,3,0,0.00%,,,
47,Weapons (Thrown/Ammo),,Unholy Arrow,No,99,,Wings,50,2,0,0.00%,,,
48,Chests/Crates,,Chest,No,1,,,,,,,,,
49,Accessories,,Band of Regeneration,No,1,,,,,,,,,
50,Tools,,Magic Mirror,No,1,,,,,,,,,
51,Weapons (Thrown/Ammo),,Jester's Arrow,No,99,,,,,,,,,
52,Statues,,Angel Statue,No,1,,,,,,,,,
53,Accessories,,Cloud in a Bottle,No,1,,,,,,,,,
54,Accessories,,Hermes Boots,No,1,,,,,,,,,
55,Weapons,,Enchanted Boomerang,No,1,,,,,,,,,
56,Ore/Bars/Gems,,Demonite Ore,No,100,,,,,,,,,
57,Ore/Bars/Gems,,Demonite Bar,No,25,,,,,,,,,
59,Plants,,Corrupt Seeds,No,25,,,,,,,,,
60,Plants,,Vile Mushroom,No,25,,,,,,,,,
61,Blocks,,Ebonstone Block,No,100,,,,,,,,,
62,Plants,,Grass Seeds,No,25,,,,,,,,,
63,Plants,,Sunflower,No,5,,,,,,,,,
64,Weapons,,Vilethorn,No,1,,,,,,,,,
65,Weapons,,Starfury,No,1,,,,,,,,,
66,Miscellaneous,,Purification Powder,No,99,,,,,,,,,
67,Miscellaneous,,Vile Powder,No,99,,,,,,,,,
68,Crafting,,Rotten Chunk,No,25,,,,,,,,,
69,Crafting,,Worm Tooth,No,25,,,,,,,,,
70,Keys/Boss Summons,,Worm Food,No,3,,,,,,,,,
71,Miscellaneous,,Copper Coin,No,100,,,,,,,,,
72,Miscellaneous,,Silver Coin,No,100,,,,,,,,,
73,Miscellaneous,,Gold Coin,No,100,,,,,,,,,
74,Miscellaneous,,Platinum Coin,No,100,,,,,,,,,
75,Miscellaneous,,Fallen Star,No,50,,,,,,,,,
76,Armor,,Copper Greaves,No,1,,,,,,,,,
77,Armor,,Iron Greaves,No,1,,,,,,,,,
78,Armor,,Silver Greaves,No,1,,,,,,,,,
79,Armor,,Gold Greaves,No,1,,,,,,,,,
80,Armor,,Copper Chainmail,No,1,,,,,,,,,
81,Armor,,Iron Chainmail,No,1,,,,,,,,,
82,Armor,,Silver Chainmail,No,1,,,,,,,,,
83,Armor,,Gold Chainmail,No,1,,,,,,,,,
84,Tools,,Grappling Hook,No,1,,,,,,,,,
85,Crafting,,Chain,No,100,,,,,,,,,
86,Crafting,,Shadow Scale,No,25,,,,,,,,,
87,Furniture (Other),,Piggy Bank,No,1,,,,,,,,,
88,Armor,,Mining Helmet,No,1,,,,,,,,,
89,Armor,,Copper Helmet,No,1,,,,,,,,,
90,Armor,,Iron Helmet,No,1,,,,,,,,,
91,Armor,,Silver Helmet,No,1,,,,,,,,,
92,Armor,,Gold Helmet,No,1,,,,,,,,,
93,Walls/Wallpaper,,Wood Wall,No,400,,,,,,,,,
94,Platforms/Fencing,,Wood Platform,No,200,,,,,,,,,
95,Weapons,,Flintlock Pistol,No,1,,,,,,,,,
96,Weapons,,Musket,No,1,,,,,,,,,
97,Weapons (Thrown/Ammo),,Musket Ball,No,99,,,,,,,,,
98,Weapons,,Minishark,No,1,,,,,,,,,
99,Weapons,,Iron Bow,No,1,,,,,,,,,
100,Armor,,Shadow Greaves,No,1,,,,,,,,,
101,Armor,,Shadow Scalemail,No,1,,,,,,,,,
102,Armor,,Shadow Helmet,No,1,,,,,,,,,
103,Tools,,Nightmare Pickaxe,No,1,,,,,,,,,
104,Tools,,The Breaker,No,1,,,,,,,,,
105,Lighting,,Candle,No,1,,,,,,,,,
106,Lighting,,Copper Chandelier,No,1,,,,,,,,,
107,Lighting,,Silver Chandelier,No,1,,,,,,,,,
108,Lighting,,Gold Chandelier,No,1,,,,,,,,,
109,Miscellaneous,,Mana Crystal,No,10,,,,,,,,,
110,Potions,,Lesser Mana Potion,No,30,,,,,,,,,
111,Accessories,,Band of Starpower,No,1,,,,,,,,,
112,Weapons,,Flower of Fire,No,1,,,,,,,,,
113,Weapons,,Magic Missile,No,1,,,,,,,,,
114,Tools,,Dirt Rod,No,1,,,,,,,,,
115,Pets/Mounts,,Shadow Orb,No,1,,,,,,,,,
116,Ore/Bars/Gems,,Meteorite,No,100,,,,,,,,,
117,Ore/Bars/Gems,,Meteorite Bar,No,25,,,,,,,,,
118,Crafting,,Hook,No,1,,,,,,,,,
119,Weapons,,Flamarang,No,1,,,,,,,,,
120,Weapons,,Molten Fury,No,1,,,,,,,,,
121,Weapons,,Volcano,No,1,,,,,,,,,
122,Tools,,Molten Pickaxe,No,1,,,,,,,,,
123,Armor,,Meteor Helmet,No,1,,,,,,,,,
124,Armor,,Meteor Suit,No,1,,,,,,,,,
125,Armor,,Meteor Leggings,No,1,,,,,,,,,
126,Crafting,,Bottled Water,No,30,,,,,,,,,
127,Weapons,,Space Gun,No,1,,,,,,,,,
128,Accessories,,Rocket Boots,No,1,,,,,,,,,
129,Blocks,,Gray Brick,No,100,,,,,,,,,
130,Walls/Wallpaper,,Gray Brick Wall,No,400,,,,,,,,,
131,Blocks,,Red Brick,No,100,,,,,,,,,
132,Walls/Wallpaper,,Red Brick Wall,No,400,,,,,,,,,
133,Blocks,,Clay Block,No,100,,,,,,,,,
134,Blocks,,Blue Brick,No,100,,,,,,,,,
135,Walls/Wallpaper,,Blue Brick Wall,No,400,,,,,,,,,
136,Lighting,,Chain Lantern,No,1,,,,,,,,,
137,Blocks,,Green Brick,No,100,,,,,,,,,
138,Walls/Wallpaper,,Green Brick Wall,No,400,,,,,,,,,
139,Blocks,,Pink Brick,No,100,,,,,,,,,
140,Walls/Wallpaper,,Pink Brick Wall,No,400,,,,,,,,,
141,Blocks,,Gold Brick,No,100,,,,,,,,,
142,Walls/Wallpaper,,Gold Brick Wall,No,400,,,,,,,,,
143,Blocks,,Silver Brick,No,100,,,,,,,,,
144,Walls/Wallpaper,,Silver Brick Wall,No,400,,,,,,,,,
145,Blocks,,Copper Brick,No,100,,,,,,,,,
146,Walls/Wallpaper,,Copper Brick Wall,No,400,,,,,,,,,
147,Mechanisms,,Spike,No,100,,,,,,,,,
148,Lighting,,Water Candle,No,1,,,,,,,,,
149,Crafting,,Book,No,25,,,,,,,,,
150,Crafting,,Cobweb,No,50,,,,,,,,,
151,Armor,,Necro Helmet,No,1,,,,,,,,,
152,Armor,,Necro Breastplate,No,1,,,,,,,,,
153,Armor,,Necro Greaves,No,1,,,,,,,,,
154,Crafting,,Bone,No,99,,,,,,,,,
155,Weapons,,Muramasa,No,1,,,,,,,,,
156,Accessories,,Cobalt Shield,No,1,,,,,,,,,
157,Weapons,,Aqua Scepter,No,1,,,,,,,,,
158,Accessories,,Lucky Horseshoe,No,1,,,,,,,,,
159,Accessories,,Shiny Red Balloon,No,1,,,,,,,,,
160,Weapons,,Harpoon,No,1,,,,,,,,,
161,Weapons (Thrown/Ammo),,Spiky Ball,No,99,,,,,,,,,
162,Weapons,,Ball O' Hurt,No,1,,,,,,,,,
163,Weapons,,Blue Moon,No,1,,,,,,,,,
164,Weapons,,Handgun,No,1,,,,,,,,,
165,Weapons,,Water Bolt,No,1,,,,,,,,,
166,Weapons (Thrown/Ammo),,Bomb,No,99,,,,,,,,,
167,Weapons (Thrown/Ammo),,Dynamite,No,99,,,,,,,,,
168,Weapons (Thrown/Ammo),,Grenade,No,99,,,,,,,,,
169,Blocks,,Sand Block,No,100,,,,,,,,,
170,Blocks,,Glass,No,100,,,,,,,,,
171,Furniture (Other),,Sign,No,1,,,,,,,,,
172,Blocks,,Ash Block,No,100,,,,,,,,,
173,Ore/Bars/Gems,,Obsidian,No,100,,,,,,,,,
174,Ore/Bars/Gems,,Hellstone,No,100,,,,,,,,,
175,Ore/Bars/Gems,,Hellstone Bar,No,25,,,,,,,,,
176,Blocks,,Mud Block,No,100,,,,,,,,,
177,Ore/Bars/Gems,,Sapphire,No,15,,,,,,,,,
178,Ore/Bars/Gems,,Ruby,No,15,,,,,,,,,
179,Ore/Bars/Gems,,Emerald,No,15,,,,,,,,,
180,Ore/Bars/Gems,,Topaz,No,15,,,,,,,,,
181,Ore/Bars/Gems,,Amethyst,No,15,,,,,,,,,
182,Ore/Bars/Gems,,Diamond,No,15,,,,,,,,,
183,Plants,,Glowing Mushroom,No,100,,,,,,,,,
185,Tools,,Ivy Whip,No,1,,,,,,,,,
186,Weapons,,Breathing Reed,No,1,,,,,,,,,
187,Accessories,,Flipper,No,1,,,,,,,,,
188,Potions,,Healing Potion,No,30,,,,,,,,,
189,Potions,,Mana Potion,No,30,,,,,,,,,
190,Weapons,,Blade of Grass,No,1,,,,,,,,,
191,Weapons,,Thorn Chakram,No,1,,,,,,,,,
192,Blocks,,Obsidian Brick,No,100,,,,,,,,,
193,Accessories,,Obsidian Skull,No,1,,,,,,,,,
194,Plants,,Mushroom Grass Seeds,No,25,,,,,,,,,
195,Plants,,Jungle Grass Seeds,No,25,,,,,,,,,
196,Tools,,Wooden Hammer,No,1,,,,,,,,,
197,Weapons,,Star Cannon,No,1,,,,,,,,,
198,Weapons,,Blue Phaseblade,No,1,,,,,,,,,
199,Weapons,,Red Phaseblade,No,1,,,,,,,,,
200,Weapons,,Green Phaseblade,No,1,,,,,,,,,
201,Weapons,,Purple Phaseblade,No,1,,,,,,,,,
202,Weapons,,White Phaseblade,No,1,,,,,,,,,
203,Weapons,,Yellow Phaseblade,No,1,,,,,,,,,
204,Tools,,Meteor Hamaxe,No,1,,,,,,,,,
205,Tools,,Empty Bucket,No,1,,,,,,,,,
206,Tools,,Water Bucket,No,1,,,,,,,,,
207,Tools,,Lava Bucket,No,1,,,,,,,,,
208,Vanity Accessories,,Jungle Rose,No,1,,,,,,,,,
209,Crafting,,Stinger,No,25,,,,,,,,,
210,Crafting,,Vine,No,5,,,,,,,,,
211,Accessories,,Feral Claws,No,1,,,,,,,,,
212,Accessories,,Anklet of the Wind,No,1,,,,,,,,,
213,Tools,,Staff of Regrowth,No,1,,,,,,,,,
214,Blocks,,Hellstone Brick,No,100,,,,,,,,,
215,Miscellaneous,,Whoopie Cushion,No,1,,,,,,,,,
216,Accessories,,Shackle,No,1,,,,,,,,,
217,Tools,,Molten Hamaxe,No,1,,,,,,,,,
218,Weapons,,Flamelash,No,1,,,,,,,,,
219,Weapons,,Phoenix Blaster,No,1,,,,,,,,,
220,Weapons,,Sunfury,No,1,,,,,,,,,
221,Crafting Stations,,Hellforge,No,1,,,,,,,,,
222,Furniture (Other),,Clay Pot,No,1,,,,,,,,,
223,Accessories,,Nature's Gift,No,1,,,,,,,,,
224,Furniture (Sets),,Bed,No,1,,,,,,,,,
225,Crafting,,Silk,No,25,,,,,,,,,
227,Potions,,Restoration Potion,No,30,,,,,,,,,
228,Armor,,Jungle Hat,No,1,,,,,,,,,
229,Armor,,Jungle Shirt,No,1,,,,,,,,,
230,Armor,,Jungle Pants,No,1,,,,,,,,,
231,Armor,,Molten Helmet,No,1,,,,,,,,,
232,Armor,,Molten Breastplate,No,1,,,,,,,,,
233,Armor,,Molten Greaves,No,1,,,,,,,,,
234,Weapons (Thrown/Ammo),,Meteor Shot,No,99,,,,,,,,,
235,Weapons (Thrown/Ammo),,Sticky Bomb,No,99,,,,,,,,,
236,Crafting,,Black Lens,No,1,,,,,,,,,
237,Vanity,,Sunglasses,No,1,,,,,,,,,
238,Armor,,Wizard Hat,No,1,,,,,,,,,
239,Vanity,,Top Hat,No,1,,,,,,,,,
240,Vanity,,Tuxedo Shirt,No,1,,,,,,,,,
241,Vanity,,Tuxedo Pants,No,1,,,,,,,,,
242,Vanity,,Summer Hat,No,1,,,,,,,,,
243,Vanity,,Bunny Hood,No,1,,,,,,,,,
244,Vanity,,Plumber's Hat,No,1,,,,,,,,,
245,Vanity,,Plumber's Shirt,No,1,,,,,,,,,
246,Vanity,,Plumber's Pants,No,1,,,,,,,,,
247,Vanity,,Hero's Hat,No,1,,,,,,,,,
248,Vanity,,Hero's Shirt,No,1,,,,,,,,,
249,Vanity,,Hero's Pants,No,1,,,,,,,,,
250,Critters,,Fish Bowl,No,1,,,,,,,,,
251,Vanity,,Archaeologist's Hat,No,1,,,,,,,,,
252,Vanity,,Archaeologist's Jacket,No,1,,,,,,,,,
253,Vanity,,Archaeologist's Pants,No,1,,,,,,,,,
254,Crafting,,Black Thread,No,5,,,,,,,,,
255,Crafting,,Green Thread,No,5,,,,,,,,,
256,Armor,,Ninja Hood,No,1,,,,,,,,,
257,Armor,,Ninja Shirt,No,1,,,,,,,,,
258,Armor,,Ninja Pants,No,1,,,,,,,,,
259,Crafting,,Leather,No,5,,,,,,,,,
260,Vanity,,Red Hat,No,1,,,,,,,,,
261,Critters,,Goldfish,No,5,,,,,,,,,
262,Vanity,,Robe,No,1,,,,,,,,,
263,Vanity,,Robot Hat,No,1,,,,,,,,,
264,Vanity,,Gold Crown,No,1,,,,,,,,,
265,Weapons (Thrown/Ammo),,Hellfire Arrow,No,99,,,,,,,,,
266,Weapons,,Sandgun,No,1,,,,,,,,,
267,Keys/Boss Summons,,Guide Voodoo Doll,No,1,,,,,,,,,
268,Armor,,Diving Helmet,No,1,,,,,,,,,
269,Vanity,,Familiar Shirt,No,1,,,,,,,,,
270,Vanity,,Familiar Pants,No,1,,,,,,,,,
271,Vanity,,Familiar Wig,No,1,,,,,,,,,
272,Weapons,,Demon Scythe,No,1,,,,,,,,,
273,Weapons,,Night's Edge,No,1,,,,,,,,,
274,Weapons,,Dark Lance,No,1,,,,,,,,,
275,Crafting,,Coral,No,25,,,,,,,,,
276,Plants,,Cactus,No,100,,,,,,,,,
277,Weapons,,Trident,No,1,,,,,,,,,
278,Weapons (Thrown/Ammo),,Silver Bullet,No,99,,,,,,,,,
279,Weapons (Thrown/Ammo),,Throwing Knife,No,99,,,,,,,,,
280,Weapons,,Spear,No,1,,,,,,,,,
281,Weapons,,Blowpipe,No,1,,,,,,,,,
282,Miscellaneous,,Glowstick,No,100,,,,,,,,,
283,Weapons (Thrown/Ammo),,Seed,No,99,,,,,,,,,
284,Weapons,,Wooden Boomerang,No,1,,,,,,,,,
285,Accessories,,Aglet,No,1,,,,,,,,,
286,Miscellaneous,,Sticky Glowstick,No,100,,,,,,,,,
287,Weapons (Thrown/Ammo),,Poisoned Knife,No,99,,,,,,,,,
288,Potions,,Obsidian Skin Potion,No,20,,,,,,,,,
289,Potions,,Regeneration Potion,No,20,,,,,,,,,
290,Potions,,Swiftness Potion,No,20,,,,,,,,,
291,Potions,,Gills Potion,No,20,,,,,,,,,
292,Potions,,Ironskin Potion,No,20,,,,,,,,,
293,Potions,,Mana Regeneration Potion,No,20,,,,,,,,,
294,Potions,,Magic Power Potion,No,20,,,,,,,,,
295,Potions,,Featherfall Potion,No,20,,,,,,,,,
296,Potions,,Spelunker Potion,No,20,,,,,,,,,
297,Potions,,Invisibility Potion,No,20,,,,,,,,,
298,Potions,,Shine Potion,No,20,,,,,,,,,
299,Potions,,Night Owl Potion,No,20,,,,,,,,,
300,Potions,,Battle Potion,No,20,,,,,,,,,
301,Potions,,Thorns Potion,No,20,,,,,,,,,
302,Potions,,Water Walking Potion,No,20,,,,,,,,,
303,Potions,,Archery Potion,No,20,,,,,,,,,
304,Potions,,Hunter Potion,No,20,,,,,,,,,
305,Potions,,Gravitation Potion,No,20,,,,,,,,,
306,Chests/Crates,,Gold Chest,No,1,,,,,,,,,
307,Plants,,Daybloom Seeds,No,25,,,,,,,,,
308,Plants,,Moonglow Seeds,No,25,,,,,,,,,
309,Plants,,Blinkroot Seeds,No,25,,,,,,,,,
310,Plants,,Deathweed Seeds,No,25,,,,,,,,,
311,Plants,,Waterleaf Seeds,No,25,,,,,,,,,
312,Plants,,Fireblossom Seeds,No,25,,,,,,,,,
313,Plants,,Daybloom,No,25,,,,,,,,,
314,Plants,,Moonglow,No,25,,,,,,,,,
315,Plants,,Blinkroot,No,25,,,,,,,,,
316,Plants,,Deathweed,No,25,,,,,,,,,
317,Plants,,Waterleaf,No,25,,,,,,,,,
318,Plants,,Fireblossom,No,25,,,,,,,,,
319,Crafting,,Shark Fin,No,25,,,,,,,,,
320,Crafting,,Feather,No,25,,,,,,,,,
321,Furniture (Other),,Tombstone,No,2,,,,,,,,,
322,Vanity,,Mime Mask,No,1,,,,,,,,,
323,Crafting,,Antlion Mandible,No,5,,,,,,,,,
324,Crafting,,Illegal Gun Parts,No,1,,,,,,,,,
325,Vanity,,The Doctor's Shirt,No,1,,,,,,,,,
326,Vanity,,The Doctor's Pants,No,1,,,,,,,,,
327,Keys/Boss Summons,,Golden Key,No,3,,,,,,,,,
328,Chests/Crates,,Shadow Chest,No,1,,,,,,,,,
329,Keys/Boss Summons,,Shadow Key,No,1,,,,,,,,,
330,Walls/Wallpaper,,Obsidian Brick Wall,No,400,,,,,,,,,
331,Crafting,,Jungle Spores,No,25,,,,,,,,,
332,Crafting Stations,,Loom,No,1,,,,,,,,,
333,Furniture (Sets),,Piano,No,1,,,,,,,,,
334,Furniture (Sets),,Dresser,No,1,,,,,,,,,
335,Furniture (Sets),,Bench,No,1,,,,,,,,,
336,Furniture (Sets),,Bathtub,No,1,,,,,,,,,
337,Banners (Decorative),,Red Banner,No,1,,,,,,,,,
338,Banners (Decorative),,Green Banner,No,1,,,,,,,,,
339,Banners (Decorative),,Blue Banner,No,1,,,,,,,,,
340,Banners (Decorative),,Yellow Banner,No,1,,,,,,,,,
341,Lighting,,Lamp Post,No,1,,,,,,,,,
342,Lighting,,Tiki Torch,No,1,,,,,,,,,
343,Furniture (Other),,Barrel,No,1,,,,,,,,,
344,Lighting,,Chinese Lantern,No,1,,,,,,,,,
345,Crafting Stations,,Cooking Pot,No,1,,,,,,,,,
346,Furniture (Other),,Safe,No,1,,,,,,,,,
347,Lighting,,Skull Lantern,No,1,,,,,,,,,
348,Furniture (Other),,Trash Can,No,1,,,,,,,,,
349,Lighting,,Candelabra,No,1,,,,,,,,,
350,Furniture (Other),,Pink Vase,No,1,,,,,,,,,
351,Furniture (Other),,Mug,No,1,,,,,,,,,
352,Crafting Stations,,Keg,No,1,,,,,,,,,
353,Food,,Ale,No,20,,,,,,,,,
354,Furniture (Sets),,Bookcase,No,1,,,,,,,,,
355,Furniture (Sets),,Throne,No,1,,,,,,,,,
356,Furniture (Other),,Bowl,No,1,,,,,,,,,
357,Food,,Bowl of Soup,No,10,,,,,,,,,
358,Furniture (Sets),,Toilet,No,1,,,,,,,,,
359,Furniture (Sets),,Grandfather Clock,No,1,,,,,,,,,
360,Statues,,Armor Statue,No,1,,,,,,,,,
361,Keys/Boss Summons,,Goblin Battle Standard,No,3,,,,,,,,,
362,Crafting,,Tattered Cloth,No,25,,,,,,,,,
363,Crafting Stations,,Sawmill,No,1,,,,,,,,,
364,Ore/Bars/Gems,,Cobalt Ore,No,100,,,,,,,,,
365,Ore/Bars/Gems,,Mythril Ore,No,100,,,,,,,,,
366,Ore/Bars/Gems,,Adamantite Ore,No,100,,,,,,,,,
367,Tools,,Pwnhammer,No,1,,,,,,,,,
368,Weapons,,Excalibur,No,1,,,,,,,,,
369,Plants,,Hallowed Seeds,No,25,,,,,,,,,
370,Blocks,,Ebonsand Block,No,100,,,,,,,,,
371,Armor,,Cobalt Hat,No,1,,,,,,,,,
372,Armor,,Cobalt Helmet,No,1,,,,,,,,,
373,Armor,,Cobalt Mask,No,1,,,,,,,,,
374,Armor,,Cobalt Breastplate,No,1,,,,,,,,,
375,Armor,,Cobalt Leggings,No,1,,,,,,,,,
376,Armor,,Mythril Hood,No,1,,,,,,,,,
377,Armor,,Mythril Helmet,No,1,,,,,,,,,
378,Armor,,Mythril Hat,No,1,,,,,,,,,
379,Armor,,Mythril Chainmail,No,1,,,,,,,,,
380,Armor,,Mythril Greaves,No,1,,,,,,,,,
381,Ore/Bars/Gems,,Cobalt Bar,No,25,,,,,,,,,
382,Ore/Bars/Gems,,Mythril Bar,No,25,,,,,,,,,
383,Tools,,Cobalt Chainsaw,No,1,,,,,,,,,
384,Tools,,Mythril Chainsaw,No,1,,,,,,,,,
385,Tools,,Cobalt Drill,No,1,,,,,,,,,
386,Tools,,Mythril Drill,No,1,,,,,,,,,
387,Tools,,Adamantite Chainsaw,No,1,,,,,,,,,
388,Tools,,Adamantite Drill,No,1,,,,,,,,,
389,Weapons,,Dao of Pow,No,1,,,,,,,,,
390,Weapons,,Mythril Halberd,No,1,,,,,,,,,
391,Ore/Bars/Gems,,Adamantite Bar,No,25,,,,,,,,,
392,Walls/Wallpaper,,Glass Wall,No,400,,,,,,,,,
393,Accessories,,Compass,No,1,,,,,,,,,
394,Accessories,,Diving Gear,No,1,,,,,,,,,
395,Accessories,,GPS,No,1,,,,,,,,,
396,Accessories,,Obsidian Horseshoe,No,1,,,,,,,,,
397,Accessories,,Obsidian Shield,No,1,,,,,,,,,
398,Crafting Stations,,Tinkerer's Workshop,No,1,,,,,,,,,
399,Accessories,,Cloud in a Balloon,No,1,,,,,,,,,
400,Armor,,Adamantite Headgear,No,1,,,,,,,,,
401,Armor,,Adamantite Helmet,No,1,,,,,,,,,
402,Armor,,Adamantite Mask,No,1,,,,,,,,,
403,Armor,,Adamantite Breastplate,No,1,,,,,,,,,
404,Armor,,Adamantite Leggings,No,1,,,,,,,,,
405,Accessories,,Spectre Boots,No,1,,,,,,,,,
406,Weapons,,Adamantite Glaive,No,1,,,,,,,,,
407,Accessories,,Toolbelt,No,1,,,,,,,,,
408,Blocks,,Pearlsand Block,No,100,,,,,,,,,
409,Blocks,,Pearlstone Block,No,100,,,,,,,,,
410,Armor,,Mining Shirt,No,1,,,,,,,,,
411,Armor,,Mining Pants,No,1,,,,,,,,,
412,Blocks,,Pearlstone Brick,No,100,,,,,,,,,
413,Blocks,,Iridescent Brick,No,100,,,,,,,,,
414,Blocks,,Mudstone Brick,No,100,,,,,,,,,
415,Blocks,,Cobalt Brick,No,100,,,,,,,,,
416,Blocks,,Mythril Brick,No,100,,,,,,,,,
417,Walls/Wallpaper,,Pearlstone Brick Wall,No,400,,,,,,,,,
418,Walls/Wallpaper,,Iridescent Brick Wall,No,400,,,,,,,,,
419,Walls/Wallpaper,,Mudstone Brick Wall,No,400,,,,,,,,,
420,Walls/Wallpaper,,Cobalt Brick Wall,No,400,,,,,,,,,
421,Walls/Wallpaper,,Mythril Brick Wall,No,400,,,,,,,,,
422,Weapons (Thrown/Ammo),,Holy Water,No,99,,,,,,,,,
423,Weapons (Thrown/Ammo),,Unholy Water,No,99,,,,,,,,,
424,Blocks,,Silt Block,No,200,,,,,,,,,
425,Pets/Mounts,,Fairy Bell,No,1,,,,,,,,,
